Date,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Year,Quarter,Month,Week,Day,Weekday,Total_Sales
2011-05-10 00:00:00,552654,23084,RABBIT NIGHT LIGHT,2,2011-05-10 14:20:00,2.08,15756.0,United Kingdom,2011,2,5,19,10,1,4.16
2011-05-11 00:00:00,552724,23084,RABBIT NIGHT LIGHT,6,2011-05-11 10:29:00,2.08,13418.0,United Kingdom,2011,2,5,19,11,2,12.48
2011-05-11 00:00:00,552811,23084,RABBIT NIGHT LIGHT,24,2011-05-11 12:43:00,1.79,17677.0,United Kingdom,2011,2,5,19,11,2,42.96
2011-05-11 00:00:00,552816,23084,RABBIT NIGHT LIGHT,1,2011-05-11 12:47:00,2.08,15521.0,United Kingdom,2011,2,5,19,11,2,2.08
2011-05-11 00:00:00,552822,23084,RABBIT NIGHT LIGHT,30,2011-05-11 12:59:00,1.79,15521.0,United Kingdom,2011,2,5,19,11,2,53.7
2011-05-11 00:00:00,552824,23084,RABBIT NIGHT LIGHT,3,2011-05-11 13:16:00,2.08,14056.0,United Kingdom,2011,2,5,19,11,2,6.24
2011-05-11 00:00:00,552828,23084,RABBIT NIGHT LIGHT,6,2011-05-11 13:23:00,2.08,13662.0,United Kingdom,2011,2,5,19,11,2,12.48
2011-05-11 00:00:00,552844,23084,RABBIT NIGHT LIGHT,18,2011-05-11 14:37:00,2.08,12649.0,Germany,2011,2,5,19,11,2,37.44
2011-05-11 00:00:00,552851,23084,RABBIT NIGHT LIGHT,120,2011-05-11 15:07:00,1.79,12731.0,France,2011,2,5,19,11,2,214.8
2011-05-12 00:00:00,552875,23084,RABBIT NIGHT LIGHT,48,2011-05-12 09:41:00,1.79,12621.0,Germany,2011,2,5,19,12,3,85.92
2011-05-12 00:00:00,552882,23084,RABBIT NIGHT LIGHT,24,2011-05-12 10:10:00,2.08,14646.0,Netherlands,2011,2,5,19,12,3,49.92
2011-05-12 00:00:00,552956,23084,RABBIT NIGHT LIGHT,12,2011-05-12 12:34:00,2.08,12431.0,Australia,2011,2,5,19,12,3,24.96
2011-05-12 00:00:00,552965,23084,RABBIT NIGHT LIGHT,6,2011-05-12 13:10:00,2.08,13477.0,United Kingdom,2011,2,5,19,12,3,12.48
2011-05-12 00:00:00,553014,23084,RABBIT NIGHT LIGHT,3,2011-05-12 18:49:00,2.08,13451.0,United Kingdom,2011,2,5,19,12,3,6.24
2011-05-13 00:00:00,553044,23084,RABBIT NIGHT LIGHT,12,2011-05-13 09:24:00,2.08,12682.0,France,2011,2,5,19,13,4,24.96
2011-05-13 00:00:00,553048,23084,RABBIT NIGHT LIGHT,6,2011-05-13 10:02:00,2.08,14291.0,United Kingdom,2011,2,5,19,13,4,12.48
2011-05-13 00:00:00,553061,23084,RABBIT NIGHT LIGHT,6,2011-05-13 11:12:00,2.08,17238.0,United Kingdom,2011,2,5,19,13,4,12.48
2011-05-13 00:00:00,553129,23084,RABBIT NIGHT LIGHT,4,2011-05-13 12:34:00,2.08,17765.0,United Kingdom,2011,2,5,19,13,4,8.32
2011-05-15 00:00:00,553194,23084,RABBIT NIGHT LIGHT,3,2011-05-15 13:37:00,2.08,16283.0,United Kingdom,2011,2,5,19,15,6,6.24
2011-05-16 00:00:00,553208,23084,RABBIT NIGHT LIGHT,6,2011-05-16 09:10:00,2.08,12674.0,France,2011,2,5,20,16,0,12.48
2011-05-16 00:00:00,553221,23084,RABBIT NIGHT LIGHT,6,2011-05-16 09:58:00,2.08,16607.0,United Kingdom,2011,2,5,20,16,0,12.48
2011-05-16 00:00:00,553235,23084,RABBIT NIGHT LIGHT,6,2011-05-16 11:13:00,2.08,13018.0,United Kingdom,2011,2,5,20,16,0,12.48
2011-05-16 00:00:00,553316,23084,RABBIT NIGHT LIGHT,6,2011-05-16 12:04:00,2.08,12682.0,France,2011,2,5,20,16,0,12.48
2011-05-16 00:00:00,553388,23084,RABBIT NIGHT LIGHT,2,2011-05-16 16:36:00,2.08,15910.0,United Kingdom,2011,2,5,20,16,0,4.16
2011-05-16 00:00:00,553402,23084,RABBIT NIGHT LIGHT,4,2011-05-16 17:13:00,2.08,17898.0,United Kingdom,2011,2,5,20,16,0,8.32
2011-05-17 00:00:00,553411,23084,RABBIT NIGHT LIGHT,12,2011-05-17 09:28:00,2.08,12714.0,France,2011,2,5,20,17,1,24.96
2011-05-17 00:00:00,553415,23084,RABBIT NIGHT LIGHT,6,2011-05-17 10:02:00,2.08,12463.0,Belgium,2011,2,5,20,17,1,12.48
2011-05-17 00:00:00,553417,23084,RABBIT NIGHT LIGHT,6,2011-05-17 10:08:00,2.08,13871.0,United Kingdom,2011,2,5,20,17,1,12.48
2011-05-17 00:00:00,553489,23084,RABBIT NIGHT LIGHT,6,2011-05-17 12:43:00,2.08,15730.0,United Kingdom,2011,2,5,20,17,1,12.48
2011-05-17 00:00:00,553537,23084,RABBIT NIGHT LIGHT,12,2011-05-17 15:25:00,2.08,14032.0,United Kingdom,2011,2,5,20,17,1,24.96
2011-05-17 00:00:00,553538,23084,RABBIT NIGHT LIGHT,6,2011-05-17 15:26:00,2.08,15855.0,United Kingdom,2011,2,5,20,17,1,12.48
2011-05-17 00:00:00,553547,23084,RABBIT NIGHT LIGHT,18,2011-05-17 15:48:00,2.08,12474.0,Germany,2011,2,5,20,17,1,37.44
2011-05-17 00:00:00,553553,23084,RABBIT NIGHT LIGHT,12,2011-05-17 16:32:00,2.08,16156.0,United Kingdom,2011,2,5,20,17,1,24.96
2011-05-18 00:00:00,553566,23084,RABBIT NIGHT LIGHT,12,2011-05-18 09:09:00,2.08,12690.0,France,2011,2,5,20,18,2,24.96
2011-05-18 00:00:00,553653,23084,RABBIT NIGHT LIGHT,24,2011-05-18 11:08:00,1.79,16701.0,United Kingdom,2011,2,5,20,18,2,42.96
2011-05-18 00:00:00,553703,23084,RABBIT NIGHT LIGHT,6,2011-05-18 14:57:00,2.08,13192.0,United Kingdom,2011,2,5,20,18,2,12.48
2011-05-18 00:00:00,553706,23084,RABBIT NIGHT LIGHT,6,2011-05-18 15:23:00,2.08,13854.0,United Kingdom,2011,2,5,20,18,2,12.48
2011-05-19 00:00:00,553833,23084,RABBIT NIGHT LIGHT,2,2011-05-19 11:41:00,2.08,17346.0,United Kingdom,2011,2,5,20,19,3,4.16
2011-05-19 00:00:00,553834,23084,RABBIT NIGHT LIGHT,12,2011-05-19 11:47:00,2.08,15189.0,United Kingdom,2011,2,5,20,19,3,24.96
2011-05-19 00:00:00,553837,23084,RABBIT NIGHT LIGHT,12,2011-05-19 12:09:00,2.08,17017.0,United Kingdom,2011,2,5,20,19,3,24.96
2011-05-19 00:00:00,553860,23084,RABBIT NIGHT LIGHT,1,2011-05-19 13:57:00,2.08,17841.0,United Kingdom,2011,2,5,20,19,3,2.08
2011-05-19 00:00:00,553884,23084,RABBIT NIGHT LIGHT,12,2011-05-19 15:36:00,2.08,12600.0,Germany,2011,2,5,20,19,3,24.96
2011-05-19 00:00:00,553901,23084,RABBIT NIGHT LIGHT,6,2011-05-19 17:48:00,2.08,14911.0,EIRE,2011,2,5,20,19,3,12.48
2011-05-20 00:00:00,553996,23084,RABBIT NIGHT LIGHT,12,2011-05-20 11:33:00,2.08,15220.0,United Kingdom,2011,2,5,20,20,4,24.96
2011-05-22 00:00:00,554109,23084,RABBIT NIGHT LIGHT,24,2011-05-22 14:33:00,1.79,12682.0,France,2011,2,5,20,22,6,42.96
2011-05-22 00:00:00,554117,23084,RABBIT NIGHT LIGHT,6,2011-05-22 15:12:00,2.08,13758.0,United Kingdom,2011,2,5,20,22,6,12.48
2011-05-23 00:00:00,554147,23084,RABBIT NIGHT LIGHT,6,2011-05-23 10:48:00,2.08,12423.0,Belgium,2011,2,5,21,23,0,12.48
2011-05-23 00:00:00,554160,23084,RABBIT NIGHT LIGHT,1,2011-05-23 11:49:00,2.08,17841.0,United Kingdom,2011,2,5,21,23,0,2.08
2011-05-23 00:00:00,554268,23084,RABBIT NIGHT LIGHT,1,2011-05-23 12:59:00,2.08,15311.0,United Kingdom,2011,2,5,21,23,0,2.08
2011-05-24 00:00:00,554356,23084,RABBIT NIGHT LIGHT,18,2011-05-24 09:25:00,2.08,12670.0,France,2011,2,5,21,24,1,37.44
2011-05-24 00:00:00,554371,23084,RABBIT NIGHT LIGHT,24,2011-05-24 10:42:00,1.79,17659.0,United Kingdom,2011,2,5,21,24,1,42.96
2011-05-24 00:00:00,554494,23084,RABBIT NIGHT LIGHT,1,2011-05-24 14:00:00,2.08,16327.0,United Kingdom,2011,2,5,21,24,1,2.08
2011-05-24 00:00:00,554497,23084,RABBIT NIGHT LIGHT,6,2011-05-24 14:38:00,2.08,15819.0,United Kingdom,2011,2,5,21,24,1,12.48
2011-05-24 00:00:00,554502,23084,RABBIT NIGHT LIGHT,6,2011-05-24 14:47:00,2.08,14289.0,United Kingdom,2011,2,5,21,24,1,12.48
2011-05-25 00:00:00,554545,23084,RABBIT NIGHT LIGHT,12,2011-05-25 09:35:00,2.08,13102.0,United Kingdom,2011,2,5,21,25,2,24.96
2011-05-25 00:00:00,554547,23084,RABBIT NIGHT LIGHT,12,2011-05-25 09:37:00,2.08,13102.0,United Kingdom,2011,2,5,21,25,2,24.96
2011-05-25 00:00:00,554648,23084,RABBIT NIGHT LIGHT,24,2011-05-25 12:44:00,1.79,12562.0,France,2011,2,5,21,25,2,42.96
